"x" "y" "convex"
-8.2 0.84 FALSE
-9.98 -0.98 TRUE
-7.5 0.68 FALSE
-2.36 2.94 FALSE
0.022568805 2.149258994 FALSE
-4.749434994 -1.403153541 FALSE
-8.24 -2.86 TRUE
-4.08 -2.26 FALSE
-3.2 -3.48 TRUE
-3.68 -1.88 FALSE
0.04619911 0.93387082 FALSE
1.364539784 0.296089217 FALSE
-1.539388948 -3.564666132 FALSE
-4.18 -6 TRUE
-0.3 -3.64 FALSE
1.04 -4.72 TRUE
-0.04 -3.32 FALSE
2.26 0.5 FALSE
4.200074038 0.265631182 FALSE
3.851250454 -2.38615728 FALSE
2.18 -5.36 TRUE
5.3 -1.98 FALSE
7.26 -1.48 TRUE
5.02 -1.42 FALSE
4.36 3.78 FALSE
5.24 6.1 TRUE
4.02 4.14 FALSE
-1.92 3.66 FALSE
-2.88 5.72 TRUE
-2.28 3.42 FALSE
-7.72 1.14 FALSE
-8.98 2.7 TRUE
