"x" "y"
1.0 6.0
1.1 5.0
0.5 4.5
1.2 4.0
1.5 1.0
1.6 2.0 
2.5 2.5
1.7 3.0
2.0 6.0
3.0 6.0
3.1 5.0
2.5 4.5
3.2 4.0
3.5 1.0
3.6 2.0
4.5 2.5
3.7 3.0
4.0 6.0
5.0 6.0
5.1 5.0
4.5 4.5
5.2 4.0
5.5 1.0
5.6 2.0 
6.5 2.5
5.7 3.0
6.0 6.0
7.0 6.1
7.5 5.5
8.0 6.2
11.0 6.5
10.0 6.6
9.5 7.5
9.0 6.7
6.0 7.0
5.7 10.0 
6.5 10.5
5.6 11.0
5.5 12.0
5.2 9.0
4.5 8.5
5.1 8.0
5.0 7.0
4.0 7.0
3.7 10.0 
4.5 10.5
3.6 11.0
3.5 12.0
3.2 9.0
2.5 8.5
3.1 8.0
3.0 7.0
2.0 7.0
1.7 10.0
2.5 10.5
1.6 11.0 
1.5 12.0
1.2 9.0
0.5 8.5
1.1 8.0
1.0 7.0
0.0 6.9
-0.5 7.5
-1.0 6.8
-4.0 6.5
-3.0 6.4
-2.5 5.5
-2.0 6.3
