id x y convex
1 -5.58039 -3.29987 TRUE
2 -5.4 -1.3 FALSE
3 -1.50039 -0.959871 TRUE
4 -5.04039 -0.219871 FALSE
5 -5.78039 1.64013 FALSE
6 -1.98039 3.94013 FALSE
7 3.48 1.74 FALSE
8 2.2 -4.58 FALSE
9 1.27961 -4.47987 FALSE
10 0.559612 -3.37987 TRUE
11 1.03961 -4.89987 FALSE
12 0.679612 -6.23987 TRUE
13 2.21961 -5.69987 FALSE
14 3.01961 -7.33987 TRUE
15 2.55961 -5.61987 FALSE
16 3.15961 -4.75987 FALSE
17 5.17961 -5.39987 TRUE
18 3.26665 -4.35284 FALSE
19 4.00564 -0.891224 FALSE
20 7.75248 -0.891224 TRUE
21 5.4577 -0.307806 FALSE
22 3.09046 5.1359 FALSE
23 4.0253 6.81861 TRUE
24 2.38414 5.3021 FALSE
25 -4.53366 5.92532 FALSE
26 -5.51005 7.35874 TRUE
27 -5.19844 5.46829 FALSE
28 -7.46282 -0.473123 FALSE
29 -9.37405 -1.24177 TRUE
30 -6.06 -1.26 FALSE
