id x y convex
1 -8.2 0.84 FALSE
2 -9.98 -0.98 TRUE
3 -7.5 0.68 FALSE
4 -2.36 2.94 FALSE
5 0.0225688 2.14926 FALSE
6 -4.74943 -1.40315 FALSE
7 -8.24 -2.86 TRUE
8 -4.08 -2.26 FALSE
9 -3.2 -3.48 TRUE
10 -3.68 -1.88 FALSE
11 0.0461991 0.933871 FALSE
12 1.36454 0.296089 FALSE
13 -1.53939 -3.56467 FALSE
14 -4.18 -6 TRUE
15 -0.3 -3.64 FALSE
16 1.04 -4.72 TRUE
17 -0.04 -3.32 FALSE
18 2.26 0.5 FALSE
19 4.20007 0.265631 FALSE
20 3.85125 -2.38616 FALSE
21 2.18 -5.36 TRUE
22 5.3 -1.98 FALSE
23 7.26 -1.48 TRUE
24 5.02 -1.42 FALSE
25 4.36 3.78 FALSE
26 5.24 6.1 TRUE
27 4.02 4.14 FALSE
28 -1.92 3.66 FALSE
29 -2.88 5.72 TRUE
30 -2.28 3.42 FALSE
31 -7.72 1.14 FALSE
32 -8.98 2.7 TRUE
