id x y convex
1 -7.07107 -10 TRUE
2 -7.07107 -2 FALSE
3 -1.41421 6 FALSE
4 4.24264 2 FALSE
5 1.41421 -2 FALSE
6 -1.41421 0 FALSE
7 -2.22045e-16 2 FALSE
8 1.41421 1.01565 FALSE
9 0.722758 0.0313017 FALSE
10 0.0313017 0.0313017 TRUE
11 0.593332 -0.54345 FALSE
12 0.722758 -1.27581 TRUE
13 0.722758 -0.675805 FALSE
14 2.263 0.864438 FALSE
15 3.16421 1.01565 TRUE
16 2.41421 1.01565 FALSE
17 0.314093 3.10216 FALSE
18 -2.22045e-16 4.41421 TRUE
19 0 3.41421 FALSE
20 -3.07603 0.338182 FALSE
21 -4.91421 0 TRUE
22 -3.41421 0 FALSE
23 1.04008 -4.4543 FALSE
24 1.41421 -6.82843 TRUE
25 1.41421 -4.82843 FALSE
26 7.94693 1.70428 FALSE
27 10.2426 2 TRUE
28 8.24264 2 FALSE
29 -1.04855 11.2912 FALSE
30 -1.41421 14.1569 TRUE
31 -1.41421 11.6569 FALSE
32 -14.6496 -1.57854 FALSE
33 -18.0711 -2 TRUE
34 -15.0711 -2 FALSE
