id x y convex
1 1 6 FALSE
2 1.1 5 FALSE
3 0.5 4.5 TRUE
4 1.2 4 FALSE
5 1.5 1 TRUE
6 1.6 2 FALSE
7 2.5 2.5 TRUE
8 1.7 3 FALSE
9 2 6 FALSE
10 3 6 FALSE
11 3.1 5 FALSE
12 2.5 4.5 TRUE
13 3.2 4 FALSE
14 3.5 1 TRUE
15 3.6 2 FALSE
16 4.5 2.5 TRUE
17 3.7 3 FALSE
18 4 6 FALSE
19 5 6 FALSE
20 5.1 5 FALSE
21 4.5 4.5 TRUE
22 5.2 4 FALSE
23 5.5 1 TRUE
24 5.6 2 FALSE
25 6.5 2.5 TRUE
26 5.7 3 FALSE
27 6 6 FALSE
28 7 6.1 FALSE
29 7.5 5.5 TRUE
30 8 6.2 FALSE
31 11 6.5 TRUE
32 10 6.6 FALSE
33 9.5 7.5 TRUE
34 9 6.7 FALSE
35 6 7 FALSE
36 5.7 10 FALSE
37 6.5 10.5 TRUE
38 5.6 11 FALSE
39 5.5 12 TRUE
40 5.2 9 FALSE
41 4.5 8.5 TRUE
42 5.1 8 FALSE
43 5 7 FALSE
44 4 7 FALSE
45 3.7 10 FALSE
46 4.5 10.5 TRUE
47 3.6 11 FALSE
48 3.5 12 TRUE
49 3.2 9 FALSE
50 2.5 8.5 TRUE
51 3.1 8 FALSE
52 3 7 FALSE
53 2 7 FALSE
54 1.7 10 FALSE
55 2.5 10.5 TRUE
56 1.6 11 FALSE
57 1.5 12 TRUE
58 1.2 9 FALSE
59 0.5 8.5 TRUE
60 1.1 8 FALSE
61 1 7 FALSE
62 0 6.9 FALSE
63 -0.5 7.5 TRUE
64 -1 6.8 FALSE
65 -4 6.5 TRUE
66 -3 6.4 FALSE
67 -2.5 5.5 TRUE
68 -2 6.3 FALSE
